ind code,name
163,Manufacturing [BS3A0]
78,Dairy product manufacturing [BS31150]
116,Forestry and logging [BS113]
182,Motor vehicle and motor vehicle parts wholesalers [BS415000]
210,Non-residential building construction [BS23B]
15,Alumina and aluminum production and processing [BS331300]
102,Engineering construction [BS23C]
368,Total industries
277,Pesticide fertilizer and other agricultural chemical [BS325300]
128,Government education services [GS610]
59,Commercial and service industry machinery manufacturing [BS333300]
97,Electronic product manufacturing [BS334B0]
252,Other municipal government services [GS91300]
322,Resin synthetic rubber and artificial and synthetic fibres [BS325200]
57,Coal mining [BS21210]
300,Pulp paper and paperboard mills [BS322100]
270,Pay and specialty television [BS515200]
164,Meat product manufacturing [BS311600]
177,Miscellaneous store retailers (except cannabis) [BS453A00]
190,Motor vehicle manufacturing [BS33610]
68,Converted paper product manufacturing [BS322200]
202,Non-depository credit intermediation and activities related [BS522A00]
29,Automobile and light-duty motor vehicle manufacturing [BS336110]
168,Metalworking machinery manufacturing [BS333500]
61,Communication engineering construction [BS23C40]
389,Water transportation [BS48300]
259,Other provincial and territorial government services [GS91200]
206,Non-metallic mineral product manufacturing[BS327A0]
24,Architectural engineering and related services [BS541300]
53,Clothing and clothing accessories stores [BS448000]
52,Cement and concrete product manufacturing [BS32730]
212,Nursing and residential care facilities [BS623000]
129,Government health services [GS620]
203,Non-ferrous metal (except aluminum) production [BS331400]
295,Printing and related support activities [BS323000]
66,Computer systems design and other professional scientific [BS541D0]
261,Other services (except public administration) [BS810]
92,Electric power engineering construction [BS23C30]
359,Support activities for mining and oil and gas extraction [BS21300]
51,Cement and concrete product manufacturing [BS327300]
77,Dairy product manufacturing [BS311500]
136,Health care and social assistance [BS620]
194,Motor vehicle seating and interior trim manufacturing [BS336360]
280,Petroleum and coal product manufacturing [BS324000]
192,Motor vehicle parts manufacturing [BS336300]
218,Offices of physicians [BS621100]
167,Metal ore mining [BS21220]
333,Seafood product preparation and packaging [BS31170]
269,Paint coating and adhesive manufacturing [BS325500]
38,Breweries [BS31212]
313,Rental and leasing services of non-financial assets [BS53B00]
112,Food beverage and tobacco merchant wholesalers [BS413000]
160,Machinery equipment and supplies merchant wholesalers [BS417000]
254,Other non-metallic mineral mining and quarrying [BS21239A]
317,Repair construction [BS23D00]
336,Ship and boat building [BS336600]
310,Religious organizations [NP81310]
84,Educational services (except universities) [GS611B0]
41,Business professional and other membership organizations [BS813000]
374,Traveller accommodation [BS721100]
110,Fishing hunting and trapping [BS114]
251,Other municipal government services [GS913000]
208,Non-residential building construction [BS23B000]
159,Machine shops turned product manufacturing [BS332700]
340,Social assistance [NP624000]
312,Rental and leasing services and lessors [BS53A000]
118,Foundries [BS331500]
